INPUT_TABLE
Variable ID
LN4_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,LandLeaf,year,allocation
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Corn_NWTerr,Corn_NWTerr_IRR,1975,2e-06
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FiberCrop_NWTerr,FiberCrop_NWTerr_IRR,1975,1e-07
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FodderGrass_NWTerr,FodderGrass_NWTerr_IRR,1975,0.0025314
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,FodderHerb_NWTerr,FodderHerb_NWTerr_IRR,1975,0.00037
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,MiscCrop_NWTerr,MiscCrop_NWTerr_IRR,1975,9.8e-06
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,OilCrop_NWTerr,OilCrop_NWTerr_IRR,1975,1e-07
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,OtherGrain_NWTerr,OtherGrain_NWTerr_IRR,1975,0.0006041
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Root_Tuber_NWTerr,Root_Tuber_NWTerr_IRR,1975,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,SugarCrop_NWTerr,SugarCrop_NWTerr_IRR,1975,0
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,Wheat_NWTerr,Wheat_NWTerr_IRR,1975,0.0002354
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,Corn_SiberiaW,Corn_SiberiaW_IRR,1975,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,FiberCrop_SiberiaW,FiberCrop_SiberiaW_IRR,1975,0.0003847
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,FodderGrass_SiberiaW,FodderGrass_SiberiaW_IRR,1975,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,FodderHerb_SiberiaW,FodderHerb_SiberiaW_IRR,1975,2.6e-05
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,MiscCrop_SiberiaW,MiscCrop_SiberiaW_IRR,1975,0.0276539
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,OilCrop_SiberiaW,OilCrop_SiberiaW_IRR,1975,0.000356
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,OtherGrain_SiberiaW,OtherGrain_SiberiaW_IRR,1975,0.0005551
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,Root_Tuber_SiberiaW,Root_Tuber_SiberiaW_IRR,1975,0
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,CropLand_SiberiaW,Wheat_SiberiaW,Wheat_SiberiaW_IRR,1975,0
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,Corn_LenaR,Corn_LenaR_IRR,1975,0
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,FiberCrop_LenaR,FiberCrop_LenaR_IRR,1975,0.0008323
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,FodderGrass_LenaR,FodderGrass_LenaR_IRR,1975,0
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,FodderHerb_LenaR,FodderHerb_LenaR_IRR,1975,0.0028505
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,MiscCrop_LenaR,MiscCrop_LenaR_IRR,1975,0.0109336
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,OilCrop_LenaR,OilCrop_LenaR_IRR,1975,0.0007764
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,OtherGrain_LenaR,OtherGrain_LenaR_IRR,1975,0.0439346
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,Root_Tuber_LenaR,Root_Tuber_LenaR_IRR,1975,0
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,CropLand_LenaR,Wheat_LenaR,Wheat_LenaR_IRR,1975,0
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,Corn_PacArctic,Corn_PacArctic_IRR,1975,0.0003217
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,FiberCrop_PacArctic,FiberCrop_PacArctic_IRR,1975,2.34e-05
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,FodderGrass_PacArctic,FodderGrass_PacArctic_IRR,1975,0.0294525
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,FodderHerb_PacArctic,FodderHerb_PacArctic_IRR,1975,0.0005267
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,MiscCrop_PacArctic,MiscCrop_PacArctic_IRR,1975,0.0002598
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,OilCrop_PacArctic,OilCrop_PacArctic_IRR,1975,9e-07
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,OtherGrain_PacArctic,OtherGrain_PacArctic_IRR,1975,0.0028587
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,Root_Tuber_PacArctic,Root_Tuber_PacArctic_IRR,1975,0
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,Corn_ScndnvN,Corn_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,FodderGrass_ScndnvN,FodderGrass_ScndnvN_IRR,1975,0.0053566
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,FodderGrass_ScndnvN,FodderGrass_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,FodderHerb_ScndnvN,FodderHerb_ScndnvN_IRR,1975,8.49e-05
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,FodderHerb_ScndnvN,FodderHerb_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,MiscCrop_ScndnvN,MiscCrop_ScndnvN_IRR,1975,0.02368
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,MiscCrop_ScndnvN,MiscCrop_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,OilCrop_ScndnvN,OilCrop_ScndnvN_IRR,1975,0
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,OilCrop_ScndnvN,OilCrop_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,OtherGrain_ScndnvN,OtherGrain_ScndnvN_IRR,1975,0.15596
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,OtherGrain_ScndnvN,OtherGrain_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,Root_Tuber_ScndnvN,Root_Tuber_ScndnvN_IRR,1975,0.1818499
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,Root_Tuber_ScndnvN,Root_Tuber_ScndnvN_IRR,1975,0
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,Wheat_ScndnvN,Wheat_ScndnvN_IRR,1975,0
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,Wheat_ScndnvN,Wheat_ScndnvN_IRR,1975,0
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,Corn_BarentsSea,Corn_BarentsSea_IRR,1975,0.0002424
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,FiberCrop_BarentsSea,FiberCrop_BarentsSea_IRR,1975,0.0003868
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,FodderGrass_BarentsSea,FodderGrass_BarentsSea_IRR,1975,0
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,FodderHerb_BarentsSea,FodderHerb_BarentsSea_IRR,1975,0.0024887
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,MiscCrop_BarentsSea,MiscCrop_BarentsSea_IRR,1975,0.0010137
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,OilCrop_BarentsSea,OilCrop_BarentsSea_IRR,1975,4.74e-05
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,OtherGrain_BarentsSea,OtherGrain_BarentsSea_IRR,1975,0.0023968
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,Root_Tuber_BarentsSea,Root_Tuber_BarentsSea_IRR,1975,3.56e-05
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,CropLand_BarentsSea,Wheat_BarentsSea,Wheat_BarentsSea_IRR,1975,1.58e-05
